-37480	1
-30673	1
-22885	1
-21158	1
-20511	1
-19998	1
-19957	1
-19634	1
-17845	1
-17695	1
-17045	1
-16926	1
-15820	1
-15649	1
-15042	1
-14245	1
-13610	1
-13364	1
-13309	1
-13245	1
-12578	1
-11510	1
-11508	1
-10732	1
-10137	1
-9774	1
-9753	1
-9709	1
-9648	1
-9236	1
-9001	1
-8699	1
-8516	1
-8464	1
-7850	1
-7468	1
-7207	1
-6928	1
-6854	1
-6010	1
-5994	1
-5967	1
-5785	1
-5673	1
-5667	1
-5222	1
-5010	1
-5002	1
-4971	1
-4897	1
-4786	1
-4764	1
-4681	1
-4622	1
-4458	1
-4107	1
-4012	1
-4001	1
-3949	1
-3915	1
-3617	1
-3604	1
-3576	1
-3375	1
-3348	1
-3254	1
-3249	1
-3198	1
-3005	1
-2986	1
-2810	1
-2749	1
-2700	1
-2690	1
-2659	1
-2641	1
-2444	1
-2441	1
-2381	1
-2365	1
-2351	1
-2281	1
-2266	1
-2160	1
-2130	1
-2072	1
-2041	1
-2008	1
-1974	1
-1955	1
-1948	1
-1912	1
-1848	1
-1786	1
-1751	1
-1739	1
-1685	1
-1684	1
-1612	1
-1602	1
-1566	1
-1562	1
-1549	1
-1525	1
-1460	1
-1327	1
-1316	1
-1304	1
-1252	1
-1233	1
-1192	1
-1176	1
-1154	1
-1137	1
-1123	1
-1106	1
-1098	1
-1080	1
-1061	1
-1043	2
-1018	1
-1005	1
-991	1
-990	1
-985	1
-978	1
-972	1
-949	1
-937	1
-921	1
-909	1
-889	1
-874	1
-868	1
-860	1
-843	1
-837	1
-823	1
-820	1
-814	1
-793	1
-791	1
-779	1
-755	1
-752	1
-740	1
-735	1
-730	1
-725	1
-719	1
-718	1
-716	1
-706	1
-700	1
-691	1
-677	1
-668	1
-662	1
-661	1
-658	1
-645	2
-633	1
-623	1
-622	1
-598	1
-581	1
-576	1
-572	1
-570	1
-541	1
-525	1
-504	1
-498	1
-495	1
-491	1
-464	1
-463	1
-461	1
-460	1
-423	1
-411	1
-410	2
-379	1
-378	1
-363	1
-348	1
-343	1
-328	1
-310	1
-308	1
-275	1
-273	1
-253	1
-225	1
-210	1
-162	1
-146	1
-141	1
-139	1
-130	1
-125	1
-116	1
-108	1
-105	1
-96	1
-93	1
-91	1
-83	1
-81	2
-75	1
-65	1
-64	1
-63	1
-50	1
-46	2
-45	1
-39	1
-37	1
-35	1
-31	1
-29	1
-16	1
-1	3
3	1
5	1
10	1
230	1
1417	1
4267	1
4823	1
5235	1
6726	1
7030	1
7090	1
8688	1
10439	1
13219	1
14244	1
15219	1
17435	1
17743	1
18214	1
21504	1
22438	1
22780	1
25546	1
26457	1
27858	1
28714	1
32739	1
33744	1
41235	1
46028	1
68695	1
111887	1
169312	1
