1	32,2384.25
10	428,24426.73
100	22220,301356.01
101	18,657.38
102	24,627.22
106	131,2377.94
107	23511,294043.65
108	26,895.90
109	2,47.48
11	19,683.96
111	1,10.38
112	380,6375.88
113	15048,188323.35
114	12840,172626.51
115	2,118.49
116	1385,19872.42
117	23,1179.66
118	5,247.39
119	75,1974.87
12	602,11884.21
120	9,206.14
121	45,1088.17
122	19,740.69
123	60,1692.99
124	44,1952.34
125	5119,70141.97
126	41,999.92
127	108,2287.69
128	7,168.45
129	708,11378.24
13	8356,152108.41
130	190,9258.54
131	43,1472.28
132	33221,1879387.04
133	57,1101.75
134	92,2875.37
135	75,2460.18
136	70,1482.61
137	14214,180670.66
138	26655,1026853.76
139	36,1216.87
14	105,2887.15
140	19131,253036.60
141	26185,296188.19
142	31754,386632.59
143	12366,147456.67
144	10283,147278.14
145	879,22271.95
146	1068,14878.35
147	32,894.05
148	12796,195660.27
149	44,854.14
15	12,373.11
150	20,613.34
151	10235,127727.08
152	999,14034.38
153	28,603.29
154	8,339.14
155	74,2269.89
156	6,500.43
157	84,3636.16
158	9167,131043.98
159	124,2521.52
16	45,1330.11
160	44,1820.08
161	40630,561949.98
162	33735,450464.18
163	26585,376381.08
164	24139,329146.51
165	74,2128.75
166	4531,62330.85
167	62,1291.47
168	306,5213.97
169	66,1638.43
17	269,4619.22
170	31364,420411.80
171	24,909.30
173	55,1216.84
174	46,966.07
175	20,628.85
177	100,2580.24
178	28,746.40
179	656,9311.32
18	43,1005.70
180	31,934.40
181	1002,18114.43
182	55,1697.96
183	21,911.66
184	3,243.73
185	38,839.86
186	37451,522756.45
187	1,8.30
188	219,4742.35
189	243,4139.97
19	28,786.09
190	50,951.50
191	84,2828.99
192	18,552.04
193	457,6781.19
194	55,3312.26
195	92,2809.40
196	122,2923.53
197	129,4789.56
198	94,2122.07
2	2,130.61
20	22,763.42
200	46,1492.48
201	5,240.16
202	48,1000.09
203	23,848.72
205	108,3826.38
206	1,77.82
207	10,328.46
208	29,740.67
209	2071,39325.58
21	40,1144.95
210	71,2328.45
211	8124,112737.20
212	36,816.60
213	112,2865.47
215	162,9080.63
216	212,8399.45
217	86,1220.43
218	83,2821.44
219	115,5872.34
22	55,1665.96
220	63,1643.49
221	7,444.38
222	66,2253.49
223	566,11934.60
224	2537,33057.28
225	200,4817.60
226	1752,34981.36
227	37,1227.10
228	130,3550.31
229	20495,250214.10
23	7,356.64
230	35748,547705.95
231	15451,235304.50
232	1790,31930.04
233	12484,175436.11
234	29521,371235.50
235	100,2523.54
236	38916,446128.88
237	40270,447606.73
238	21423,256645.29
239	29072,348849.44
24	3130,41161.91
240	8,291.24
241	37,913.47
242	69,1610.63
243	271,5588.26
244	1227,19882.82
245	2,101.86
246	11634,157539.94
247	163,2957.62
248	32,809.86
249	19611,252657.14
25	870,15297.48
250	34,791.41
251	3,82.90
252	12,471.78
253	3,47.90
254	79,2509.22
255	798,13732.89
256	804,14235.49
257	56,1519.91
258	42,1421.76
259	44,1331.94
26	121,2521.66
260	729,11831.71
261	6426,123842.23
262	12963,162066.62
263	22098,257241.24
264	17523,270712.58
265	284,13181.32
28	159,7116.67
29	25,661.94
3	17,620.19
30	1,16.22
31	6,240.10
32	46,1560.91
33	916,16509.71
34	29,643.30
35	144,3733.40
36	155,3418.38
37	312,6654.77
38	26,962.18
39	138,4579.93
4	2187,31402.33
40	455,7508.07
41	4587,57136.33
42	2202,29531.39
43	16726,217965.79
44	5,316.50
45	2309,37994.29
46	6,242.82
47	52,1053.64
48	34542,466552.11
49	307,5324.75
5	4,324.74
50	9145,122153.65
51	112,3661.65
52	477,8122.05
53	23,792.87
54	32,586.54
55	43,1437.28
56	70,2387.77
57	6,239.96
58	2,23.55
59	6,134.15
6	4,289.78
60	37,790.26
61	362,7487.85
62	111,2306.45
63	39,839.88
64	5,153.64
65	1197,21777.14
66	502,9546.38
67	35,1037.78
68	23377,318315.58
69	129,2929.93
7	1894,25095.76
70	130,4112.04
71	80,2375.35
72	104,2806.79
73	8,233.32
74	4571,56072.27
75	8456,105143.16
76	237,6938.73
77	58,1495.84
78	50,1257.67
79	27555,363604.15
8	8,174.80
80	493,9694.98
81	43,1137.48
82	398,8202.17
83	157,2498.51
85	65,1567.58
86	19,1149.13
87	6595,128013.01
88	3662,75138.28
89	200,5152.68
9	26,583.62
90	17573,215270.01
91	102,2888.58
92	70,1792.81
93	178,9520.97
94	34,987.17
95	213,5052.59
96	5,65.60
97	814,13174.37
98	22,530.90
